,customer_id,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,country,state,city,zip_code,total_population,latitude,longitude,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,Unnamed: 0.1,Unnamed: 0,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,satisfaction_score,cltv,customer_status,churn_score,churn_label,churn_value,churn_category,churn_reason
10,0017-DINOC,Two Year,No,Credit card (automatic),45.2,0.0,2460.55,0.0,0,0.0,2460.55,No,Yes,Yes,No,No,Yes,Yes,No,No,Cable,United States,California,Rancho Santa Fe,92091,1072,32.99356,-117.207121,54,No,10,Yes,,No,0,10,10,Male,47,No,No,No,No,0,No,4,5435,Stayed,54,No,0,Not Applicable,
11,0017-IUDMW,Two Year,Yes,Credit card (automatic),116.8,16.01,8456.75,0.0,0,1152.72,9609.47,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Sunnyvale,94086,64010,37.378541,-122.020456,72,Yes,59,Yes,,Yes,2,11,11,Female,25,Yes,No,Yes,Yes,2,Yes,3,6252,Stayed,52,No,0,Not Applicable,
12,0018-NYROU,Month-to-Month,Yes,Electronic check,68.95,18.65,351.5,0.0,0,93.25,444.75,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,United States,California,Antelope,95843,36432,38.715498,-121.363411,5,No,10,Yes,,No,0,12,12,Female,58,No,No,Yes,No,0,Yes,3,5536,Stayed,57,No,0,Not Applicable,
13,0019-EFAEP,Two Year,Yes,Bank transfer (automatic),101.3,2.25,7261.25,0.0,0,162.0,7423.25,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,United States,California,La Mesa,91942,24005,32.782501,-117.01611,72,Yes,16,Yes,Offer A,No,0,13,13,Female,32,No,No,No,No,0,No,3,5513,Stayed,53,No,0,Not Applicable,
14,0019-GFNTW,Two Year,No,Bank transfer (automatic),45.05,0.0,2560.1,0.0,0,0.0,2560.1,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,United States,California,Los Olivos,93441,1317,34.70434,-120.02609,56,No,19,Yes,,No,0,14,14,Female,39,No,No,No,No,0,No,3,5795,Stayed,37,No,0,Not Applicable,
15,0020-INWCK,Two Year,Yes,Credit card (automatic),95.75,27.26,6849.4,0.0,0,1935.46,8784.86,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic,United States,California,Woodlake,93286,8870,36.464635,-119.094348,71,Yes,12,Yes,Offer A,Yes,9,15,15,Female,58,No,No,Yes,Yes,2,Yes,5,4865,Stayed,26,No,0,Not Applicable,
16,0020-JDNXP,One Year,No,Mailed check,61.25,0.0,1993.2,0.0,0,0.0,1993.2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,United States,California,Point Reyes Station,94956,1885,38.060264,-122.830646,34,No,20,Yes,,No,0,16,16,Female,52,No,No,Yes,Yes,1,Yes,4,3607,Stayed,37,No,0,Not Applicable,
17,0021-IKXGC,One Year,Yes,Electronic check,72.1,7.77,72.1,0.0,0,7.77,79.87,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,United States,California,San Marcos,92078,6760,33.119028,-117.166036,1,Yes,22,Yes,Offer E,No,0,17,17,Female,72,No,Yes,No,No,0,No,4,4432,Joined,50,No,0,Not Applicable,
18,0022-TCJCI,One Year,No,Credit card (automatic),62.7,10.67,2791.5,0.0,0,480.15,3271.65,Yes,Yes,Yes,No,Yes,No,No,Yes,No,DSL,United States,California,Daly City,94015,63337,37.680844,-122.48131,45,No,17,Yes,,No,0,18,18,Male,79,No,Yes,No,No,0,No,1,2654,Churned,92,Yes,1,Dissatisfaction,Limited range of services
19,0023-HGHWL,Month-to-Month,Yes,Electronic check,25.1,0.0,25.1,0.0,0,0.0,25.1,No,Yes,No,No,No,No,No,No,No,Cable,United States,California,Morgan Hill,95037,41707,37.161544,-121.649371,1,No,9,Yes,,No,0,19,19,Male,67,No,Yes,No,No,0,No,3,5437,Churned,85,Yes,1,Competitor,Competitor made better offer
20,0023-UYUPN,One Year,No,Electronic check,25.2,31.43,1306.3,0.0,0,1571.5,2877.8,Yes,No,No,No,No,No,No,No,No,,United States,California,Ahwahnee,93601,1968,37.375816,-119.739935,50,Yes,0,No,,No,0,20,20,Female,79,No,Yes,Yes,No,0,Yes,3,4015,Stayed,61,No,0,Not Applicable,
21,0023-XUOPT,Month-to-Month,No,Electronic check,94.1,43.56,1215.6,0.0,0,566.28,1781.88,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic,United States,California,Carnelian Bay,96140,1943,39.227434,-120.091806,13,Yes,52,Yes,,Yes,1,21,21,Female,26,Yes,No,Yes,No,0,Yes,1,2973,Churned,75,Yes,1,Other,Don't know
22,0027-KWYKW,Month-to-Month,Yes,Electronic check,83.75,34.91,1849.95,0.0,0,802.93,2652.88,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,United States,California,Alpaugh,93201,1054,35.869626,-119.498771,23,Yes,30,Yes,Offer D,Yes,1,22,22,Female,30,No,No,Yes,Yes,2,Yes,4,3585,Stayed,78,No,0,Not Applicable,
23,0030-FNXPP,Month-to-Month,No,Mailed check,19.85,3.12,57.2,0.0,0,9.36,66.56,Yes,No,No,No,No,No,No,No,No,,United States,California,Keeler,93530,71,36.560498,-117.962461,3,No,0,No,,No,0,23,23,Female,22,Yes,No,No,No,0,No,4,5634,Joined,59,No,0,Not Applicable,
24,0031-PVLZI,Month-to-Month,No,Mailed check,20.35,12.43,76.35,0.0,0,49.72,126.07,Yes,No,No,No,No,No,No,No,No,,United States,California,Korbel,95550,155,40.7666,-123.80458,4,No,0,No,Offer E,No,0,24,24,Female,34,No,No,Yes,No,0,Yes,1,4133,Churned,81,Yes,1,Price,Long distance charges
25,0032-PGELS,Month-to-Month,No,Bank transfer (automatic),30.5,0.0,30.5,0.0,0,0.0,30.5,No,Yes,Yes,No,No,No,No,No,No,DSL,United States,California,Palomar Mountain,92060,234,33.309852,-116.823091,1,No,19,Yes,,Yes,1,25,25,Female,37,No,No,Yes,Yes,1,Yes,1,5171,Churned,74,Yes,1,Attitude,Attitude of service provider
26,0036-IHMOT,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0.0,20,1927.2,7603.95,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Parlier,93648,12587,36.622237,-119.521126,55,No,57,No,,Yes,10,26,26,Female,37,No,No,Yes,Yes,3,Yes,3,5892,Stayed,65,No,0,Not Applicable,
27,0040-HALCW,Two Year,No,Credit card (automatic),20.4,19.7,1090.6,0.0,0,1063.8,2154.4,Yes,No,No,No,No,No,No,No,No,,United States,California,Modesto,95358,30668,37.612612,-121.108568,54,No,0,No,,Yes,3,27,27,Male,42,No,No,Yes,Yes,3,Yes,4,6393,Stayed,60,No,0,Not Applicable,
28,0042-JVWOJ,One Year,Yes,Bank transfer (automatic),19.6,37.7,471.85,21.25,0,980.2,1430.8,Yes,No,No,No,No,No,No,No,No,,United States,California,Glen Ellen,95442,4101,38.368744,-122.522642,26,No,0,No,Offer C,No,0,28,28,Male,64,No,No,No,No,0,No,4,3722,Stayed,26,No,0,Not Applicable,
29,0042-RLHYP,Two Year,No,Bank transfer (automatic),19.7,38.39,1396.9,0.0,0,2648.91,4045.81,Yes,No,No,No,No,No,No,No,No,,United States,California,Eureka,95503,23570,40.737431,-124.108897,69,No,0,No,,Yes,5,29,29,Female,47,No,No,Yes,Yes,3,Yes,5,4131,Stayed,76,No,0,Not Applicable,
30,0048-LUMLS,One Year,No,Credit card (automatic),91.2,43.01,3247.55,0.0,0,1591.37,4838.92,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,United States,California,Moss Beach,94038,3064,37.515556,-122.502311,37,No,51,Yes,Offer C,Yes,1,30,30,Male,23,Yes,No,Yes,Yes,3,Yes,5,5263,Stayed,55,No,0,Not Applicable,
31,0048-PIHNL,One Year,No,Bank transfer (automatic),20.45,49.58,900.9,0.0,0,2429.42,3330.32,Yes,No,No,No,No,No,No,No,No,,United States,California,Los Angeles,90058,3642,34.001617,-118.222274,49,No,0,No,Offer B,Yes,5,31,31,Female,48,No,No,Yes,No,0,Yes,3,6061,Stayed,20,No,0,Not Applicable,
32,0052-DCKON,One Year,No,Bank transfer (automatic),115.8,43.77,7942.15,0.0,0,2888.82,10830.97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Los Angeles,90063,55668,34.044271,-118.185237,66,Yes,41,Yes,,Yes,9,32,32,Male,28,Yes,No,Yes,No,0,Yes,3,5845,Stayed,42,No,0,Not Applicable,
33,0052-YNYOT,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,Yes,No,No,No,No,No,No,No,No,,United States,California,Calexico,92231,27804,32.690654,-115.431225,67,No,0,No,,No,0,33,33,Female,28,Yes,No,No,No,0,No,5,5462,Stayed,72,No,0,Not Applicable,
34,0056-EPFBG,Two Year,Yes,Credit card (automatic),39.4,0.0,825.4,0.0,0,0.0,825.4,No,Yes,Yes,No,Yes,Yes,No,No,No,Cable,United States,California,Redding,96003,41476,40.677649,-122.29467,20,No,22,Yes,,Yes,4,34,34,Male,33,No,No,Yes,Yes,1,Yes,3,3899,Stayed,29,No,0,Not Applicable,
35,0057-QBUQH,Two Year,Yes,Electronic check,25.1,30.64,1070.15,0.0,0,1317.52,2387.67,Yes,No,No,No,No,No,No,No,No,,United States,California,San Martin,95046,5671,37.084697,-121.606417,43,Yes,0,No,,No,0,35,35,Female,31,No,No,No,Yes,3,No,4,4797,Stayed,59,No,0,Not Applicable,
36,0058-EVZWM,Month-to-Month,Yes,Bank transfer (automatic),89.8,5.08,4959.6,0.0,0,279.4,5239.0,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,United States,California,Stockton,95209,30814,38.044523,-121.348048,55,Yes,9,Yes,Offer B,Yes,2,36,36,Female,37,No,No,Yes,No,0,Yes,3,5875,Stayed,42,No,0,Not Applicable,
37,0060-FUALY,Month-to-Month,Yes,Electronic check,94.75,16.39,5597.65,0.0,0,967.01,6564.66,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic,United States,California,Los Angeles,90003,58198,33.964131,-118.272783,59,Yes,14,Yes,Offer B,Yes,4,37,37,Female,60,No,No,Yes,No,0,Yes,3,5238,Stayed,26,No,0,Not Applicable,
38,0064-SUDOG,Two Year,No,Bank transfer (automatic),20.3,19.28,224.5,0.0,0,231.36,455.86,Yes,No,No,No,No,No,No,No,No,,United States,California,Huntington Park,90255,78114,33.97803,-118.217141,12,No,0,No,,Yes,3,38,38,Female,48,No,No,Yes,Yes,3,Yes,5,5190,Stayed,57,No,0,Not Applicable,
39,0064-YIJGF,Month-to-Month,Yes,Bank transfer (automatic),75.75,25.26,1929.0,0.0,0,682.02,2611.02,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,United States,California,Yermo,92398,1195,35.013299,-116.834092,27,Yes,23,Yes,Offer C,Yes,7,39,39,Male,60,No,No,Yes,Yes,3,Yes,3,4994,Stayed,46,No,0,Not Applicable,
40,0067-DKWBL,Month-to-Month,Yes,Electronic check,49.25,43.99,91.1,0.0,0,87.98,179.08,Yes,Yes,Yes,No,No,No,No,No,No,DSL,United States,California,San Diego,92129,47224,32.961064,-117.134917,2,No,27,Yes,,No,0,40,40,Male,69,No,Yes,No,No,0,No,2,3475,Churned,95,Yes,1,Competitor,Competitor made better offer
41,0068-FIGTF,One Year,No,Mailed check,78.2,48.91,2078.95,0.0,0,1320.57,3399.52,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,United States,California,Fremont,94539,46917,37.516791,-121.899117,27,No,59,Yes,Offer C,No,0,41,41,Female,20,Yes,No,No,No,0,No,3,2297,Stayed,54,No,0,Not Applicable,
42,0071-NDAFP,Two Year,No,Credit card (automatic),25.5,23.69,630.6,44.42,0,592.25,1178.43,Yes,No,No,No,No,No,No,No,No,,United States,California,Santa Rosa,95405,22250,38.439696,-122.668817,25,Yes,0,No,,Yes,1,42,42,Male,31,No,No,Yes,Yes,3,Yes,3,5230,Stayed,65,No,0,Not Applicable,
43,0074-HDKDG,One Year,Yes,Bank transfer (automatic),61.6,6.45,1611.0,44.9,0,161.25,1727.35,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Cable,United States,California,San Jose,95126,27023,37.327069,-121.916819,25,No,19,Yes,,Yes,5,43,43,Male,46,No,No,Yes,No,0,Yes,3,3807,Stayed,66,No,0,Not Applicable,
44,0076-LVEPS,Month-to-Month,Yes,Mailed check,45.0,0.0,1242.45,12.26,0,0.0,1230.19,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,United States,California,Tujunga,91042,26753,34.296574,-118.244839,29,No,21,Yes,,No,0,44,44,Male,57,No,No,No,Yes,1,No,4,3290,Stayed,73,No,0,Not Applicable,
45,0078-XZMHT,Two Year,Yes,Bank transfer (automatic),85.15,32.36,6316.2,0.0,0,2329.92,8646.12,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL,United States,California,Visalia,93291,36718,36.391777,-119.372842,72,Yes,52,Yes,,Yes,5,45,45,Male,19,Yes,No,Yes,No,0,Yes,3,6322,Stayed,76,No,0,Not Applicable,
46,0080-EMYVY,One Year,No,Credit card (automatic),51.45,24.04,727.85,0.0,0,336.56,1064.41,Yes,Yes,No,Yes,No,No,No,No,No,Cable,United States,California,Lodi,95240,45755,38.123544,-121.159078,14,No,12,Yes,,No,0,46,46,Female,64,No,No,No,No,0,No,3,4298,Stayed,57,No,0,Not Applicable,
47,0080-OROZO,One Year,Yes,Electronic check,99.25,36.42,3532.0,0.0,0,1274.7,4806.7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,El Portal,95318,579,37.654551,-119.822984,35,No,2,Yes,Offer C,No,0,47,47,Female,38,No,No,No,No,0,No,3,3244,Stayed,36,No,0,Not Applicable,
48,0082-LDZUE,Month-to-Month,Yes,Mailed check,44.3,42.95,44.3,0.0,0,42.95,87.25,Yes,Yes,No,No,No,No,No,No,No,DSL,United States,California,Calistoga,94515,7384,38.629618,-122.593216,1,No,9,Yes,Offer E,No,0,48,48,Male,54,No,No,No,No,0,No,5,4427,Joined,57,No,0,Not Applicable,
49,0082-OQIQY,Month-to-Month,Yes,Electronic check,94.2,2.05,2607.6,0.0,20,59.45,2687.05,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Farmington,95230,596,37.956963,-120.863055,29,No,17,No,,No,0,49,49,Male,50,No,No,No,No,0,No,5,4561,Stayed,60,No,0,Not Applicable,
50,0083-PIVIK,One Year,No,Electronic check,81.25,5.49,5567.55,0.0,40,351.36,5958.91,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL,United States,California,Tulelake,96134,2595,41.813521,-121.492666,64,Yes,69,No,,No,0,50,50,Male,25,Yes,No,No,No,0,No,3,4761,Stayed,67,No,0,Not Applicable,
51,0089-IIQKO,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,3767.4,0.0,0,950.82,4718.22,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Coleville,96107,1332,38.42528,-119.475741,39,Yes,53,Yes,,Yes,1,51,51,Female,35,No,No,Yes,Yes,3,Yes,3,4447,Stayed,43,No,0,Not Applicable,
52,0093-EXYQL,Two Year,Yes,Electronic check,91.55,44.14,3673.6,0.0,0,1765.6,5439.2,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic,United States,California,Ojai,93023,21633,34.581308,-118.931948,40,No,23,Yes,,No,0,52,52,Female,72,No,Yes,No,No,0,No,3,5742,Stayed,59,No,0,Not Applicable,
53,0093-XWZFY,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,4036.85,0.0,0,1507.6,5544.45,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,United States,California,Desert Hot Springs,92241,5529,33.832799,-116.250973,40,Yes,15,Yes,,No,0,53,53,Male,51,No,No,No,No,0,No,1,2832,Churned,93,Yes,1,Competitor,Competitor had better devices
54,0094-OIFMO,Month-to-Month,Yes,Electronic check,95.0,11.59,1120.3,0.0,120,127.49,1367.79,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,United States,California,North Hollywood,91605,57146,34.207295,-118.400022,11,No,29,No,Offer D,No,0,54,54,Female,78,No,Yes,No,Yes,1,No,1,5980,Churned,85,Yes,1,Dissatisfaction,Product dissatisfaction
55,0096-BXERS,Month-to-Month,No,Electronic check,50.35,42.66,314.55,0.0,0,255.96,570.51,Yes,Yes,No,No,No,No,No,No,No,Cable,United States,California,Inverness,94937,1004,38.099323,-122.945723,6,Yes,85,Yes,Offer E,Yes,10,55,55,Female,30,No,No,Yes,No,0,Yes,3,3442,Stayed,74,No,0,Not Applicable,
56,0096-FCPUF,Month-to-Month,Yes,Mailed check,64.5,2.64,1888.45,0.0,0,79.2,1967.65,Yes,Yes,Yes,No,No,No,No,Yes,Yes,DSL,United States,California,Santa Rosa,95404,35057,38.526941,-122.709096,30,Yes,15,Yes,,No,0,56,56,Male,58,No,No,No,No,0,No,3,5039,Stayed,48,No,0,Not Applicable,
57,0098-BOWSO,Month-to-Month,Yes,Electronic check,19.4,20.66,529.8,0.0,0,557.82,1087.62,Yes,No,No,No,No,No,No,No,No,,United States,California,San Jose,95131,26389,37.387027,-121.897775,27,No,0,No,,No,0,57,57,Male,26,Yes,No,No,No,0,No,5,3792,Stayed,39,No,0,Not Applicable,
58,0100-DUVFC,One Year,Yes,Electronic check,104.8,39.49,7308.95,6.11,0,2764.3,10067.14,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,United States,California,Wilmington,90744,53323,33.782068,-118.262263,70,Yes,28,Yes,,Yes,3,58,58,Male,66,No,Yes,Yes,No,0,Yes,5,5291,Stayed,57,No,0,Not Applicable,
59,0103-CSITQ,One Year,Yes,Bank transfer (automatic),109.4,8.01,6252.7,0.0,0,456.57,6709.27,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Modesto,95357,13343,37.670526,-120.877572,57,Yes,73,Yes,Offer B,Yes,10,59,59,Female,20,Yes,No,Yes,No,0,Yes,5,6026,Stayed,65,No,0,Not Applicable,
60,0104-PPXDV,One Year,No,Credit card (automatic),50.3,18.37,2878.55,10.23,0,1065.46,3933.78,Yes,Yes,No,No,Yes,No,No,No,No,DSL,United States,California,San Diego,92113,47431,32.697098,-117.116587,58,No,18,Yes,,Yes,10,60,60,Male,61,No,No,Yes,No,0,Yes,5,5232,Stayed,30,No,0,Not Applicable,
61,0106-GHRQR,Month-to-Month,Yes,Bank transfer (automatic),71.4,25.71,1212.1,0.0,0,411.36,1623.46,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,DSL,United States,California,Rancho Palos Verdes,90275,41263,33.753146,-118.367459,16,Yes,48,Yes,,No,0,61,61,Male,24,Yes,No,No,No,0,No,5,3360,Stayed,39,No,0,Not Applicable,
62,0106-UGRDO,Two Year,Yes,Electronic check,116.0,38.52,8182.85,0.0,0,2657.88,10840.73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Kenwood,95452,1653,38.419525,-122.521585,69,Yes,27,Yes,Offer A,Yes,3,62,62,Female,55,No,No,Yes,No,0,Yes,3,4216,Stayed,37,No,0,Not Applicable,
63,0107-WESLM,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0.0,0,31.77,51.62,Yes,No,No,No,No,No,No,No,No,,United States,California,West Point,95255,2198,38.41935,-120.469545,1,No,0,No,Offer E,No,0,63,63,Male,32,No,No,No,No,0,No,2,3874,Churned,66,Yes,1,Attitude,Attitude of support person
64,0107-YHINA,Month-to-Month,Yes,Electronic check,99.75,40.71,99.75,0.0,0,40.71,140.46,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,United States,California,Los Angeles,90062,29299,34.003553,-118.308933,1,Yes,25,Yes,,No,0,64,64,Male,59,No,No,No,No,0,No,1,4214,Churned,93,Yes,1,Competitor,Competitor had better devices
65,0111-KLBQG,One Year,Yes,Mailed check,93.95,31.86,2861.45,0.0,0,1019.52,3880.97,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,United States,California,Morongo Valley,92256,3499,34.097863,-116.594561,32,No,23,Yes,Offer C,Yes,9,65,65,Male,71,No,Yes,Yes,Yes,1,Yes,5,2844,Stayed,62,No,0,Not Applicable,
66,0112-QAWRZ,Month-to-Month,Yes,Bank transfer (automatic),90.8,48.71,1442.2,0.0,0,779.36,2221.56,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,United States,California,Palo Verde,92266,291,33.3249,-114.758334,16,Yes,12,Yes,Offer D,Yes,8,66,66,Male,49,No,No,Yes,Yes,2,Yes,3,5560,Stayed,66,No,0,Not Applicable,
67,0112-QWPNC,One Year,No,Electronic check,84.35,39.55,4059.35,0.0,0,1937.95,5997.3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,United States,California,Valyermo,93563,413,34.39583,-117.734568,49,Yes,10,Yes,Offer B,Yes,1,67,67,Male,61,No,No,Yes,No,0,Yes,2,6452,Churned,73,Yes,1,Competitor,Competitor offered higher download speeds
68,0114-IGABW,Two Year,No,Bank transfer (automatic),58.25,0.0,4145.9,0.0,0,0.0,4145.9,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable,United States,California,Cambria,93428,6526,35.591387,-121.032256,71,No,29,Yes,Offer A,Yes,2,68,68,Female,40,No,No,Yes,No,0,Yes,5,5224,Stayed,76,No,0,Not Applicable,
69,0114-PEGZZ,Month-to-Month,No,Electronic check,107.55,49.69,3645.5,0.0,0,1639.77,5285.27,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,United States,California,Round Mountain,96084,459,40.923558,-122.059933,33,Yes,12,Yes,,No,0,69,69,Female,39,No,No,No,No,0,No,3,4800,Stayed,33,No,0,Not Applicable,
70,0114-RSRRW,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,187.75,0.0,0,496.0,683.75,Yes,No,No,No,No,No,No,No,No,,United States,California,Klamath,95548,1215,41.572813,-124.035011,10,No,0,No,Offer D,Yes,9,70,70,Female,21,Yes,No,Yes,No,0,Yes,4,3831,Stayed,54,No,0,Not Applicable,
71,0115-TFERT,Month-to-Month,Yes,Electronic check,111.2,36.26,2317.1,0.0,120,761.46,3198.56,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,United States,California,Fresno,93650,3258,36.841655,-119.797113,21,Yes,59,No,,Yes,1,71,71,Male,24,Yes,No,Yes,No,0,Yes,3,4123,Churned,89,Yes,1,Attitude,Attitude of service provider
